task_type	prefix	data_type	bound	start	end	video	question	answer	candidates	index
Object Interaction	video/star/Charades_v1_480/	video	True	1.4000000000000004	17.7	XQDQ4.mp4	Which object was taken by the person?	The cup/glass/bottle.	['The cup/glass/bottle.', 'The pillow.', 'The phone/camera.', 'The sandwich.']	1290
Object Interaction	video/star/Charades_v1_480/	video	True	6.161759403917799	25.8382405960822	RG0KS.mp4	Which object was put down by the person?	The box.	['The cup/glass/bottle.', 'The box.', 'The clothes.', 'The bag.']	1291
Object Interaction	video/star/Charades_v1_480/	video	True	8.5	23.6	QLAS7.mp4	Which object was put down by the person?	The picture.	['The laptop.', 'The paper/notebook.', 'The picture.', 'The box.']	1292
Object Interaction	video/star/Charades_v1_480/	video	True	6.199999999999999	28.0	4MFE0.mp4	Which object was taken by the person?	The book.	['The sandwich.', 'The book.', 'The box.', 'The cup/glass/bottle.']	1293
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.8	BCONW.mp4	Which object was closed by the person?	The refrigerator.	['The refrigerator.', 'The door.', 'The laptop.', 'The closet/cabinet.']	1294
Object Interaction	video/star/Charades_v1_480/	video	True	5.0	20.0	R1RDT.mp4	Which object was lied on by the person?	The bed.	['The sofa/couch.', 'The bed.', 'The clothes.', 'The floor.']	1295
Object Interaction	video/star/Charades_v1_480/	video	True	2.5999999999999996	17.3	HPAYB.mp4	Which object was put down by the person?	The bag.	['The food.', 'The broom.', 'The picture.', 'The bag.']	1296
Object Interaction	video/star/Charades_v1_480/	video	True	5.800000000000001	20.2	XFRYR.mp4	Which object was closed by the person?	The closet/cabinet.	['The book.', 'The window.', 'The door.', 'The closet/cabinet.']	1297
Object Interaction	video/star/Charades_v1_480/	video	True	2.3999999999999986	28.0	V3RAX.mp4	Which object was tidied up by the person?	The clothes.	['The blanket.', 'The clothes.', 'The table.', 'The closet/cabinet.']	1298
Object Interaction	video/star/Charades_v1_480/	video	True	2.0333333333333314	33.96666666666667	W0QSB.mp4	Which object was taken by the person?	The dish.	['The dish.', 'The laptop.', 'The phone/camera.', 'The food.']	1299
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.5	RRQEV.mp4	Which object was tidied up by the person?	The clothes.	['The table.', 'The closet/cabinet.', 'The clothes.', 'The blanket.']	1300
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	16.3	P2HZG.mp4	Which object was sat at by the person?	The table.	['The floor.', 'The bed.', 'The table.', 'The sofa/couch.']	1301
Object Interaction	video/star/Charades_v1_480/	video	True	13.100000000000001	28.1	3T785.mp4	Which object was put down by the person?	The laptop.	['The book.', 'The pillow.', 'The towel.', 'The laptop.']	1302
Object Interaction	video/star/Charades_v1_480/	video	True	17.4	32.3	F0ZPW.mp4	Which object was taken by the person?	The dish.	['The towel.', 'The box.', 'The shoe.', 'The dish.']	1303
Object Interaction	video/star/Charades_v1_480/	video	True	1.5113666666666674	21.988633333333333	9J166.mp4	Which object was opened by the person?	The window.	['The door.', 'The box.', 'The window.', 'The closet/cabinet.']	1304
Object Interaction	video/star/Charades_v1_480/	video	True	3.466666666666665	30.933333333333334	A33VQ.mp4	Which object was closed by the person?	The refrigerator.	['The door.', 'The refrigerator.', 'The book.', 'The box.']	1305
Object Interaction	video/star/Charades_v1_480/	video	True	17.1	32.1	OEE36.mp4	Which object was put down by the person?	The towel.	['The picture.', 'The food.', 'The towel.', 'The book.']	1306
Object Interaction	video/star/Charades_v1_480/	video	True	5.4	19.7	M5UQR.mp4	Which object was put down by the person?	The phone/camera.	['The picture.', 'The cup/glass/bottle.', 'The food.', 'The phone/camera.']	1307
Object Interaction	video/star/Charades_v1_480/	video	True	6.0	20.1	VS7VS.mp4	Which object was put down by the person?	The book.	['The clothes.', 'The towel.', 'The blanket.', 'The book.']	1308
Object Interaction	video/star/Charades_v1_480/	video	True	6.9	23.8	BZD0Q.mp4	Which object was taken by the person?	The bag.	['The paper/notebook.', 'The bag.', 'The dish.', 'The clothes.']	1309
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.7	9PXC0.mp4	Which object was lied on by the person?	The bed.	['The laptop.', 'The sofa/couch.', 'The floor.', 'The bed.']	1310
Object Interaction	video/star/Charades_v1_480/	video	True	13.100000000000001	28.8	01KML.mp4	Which object was taken by the person?	The laptop.	['The laptop.', 'The cup/glass/bottle.', 'The paper/notebook.', 'The blanket.']	1311
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.0	428VQ.mp4	Which object was opened by the person?	The book.	['The door.', 'The bag.', 'The refrigerator.', 'The book.']	1312
Object Interaction	video/star/Charades_v1_480/	video	True	12.2	27.0	CH8XJ.mp4	Which object was put down by the person?	The shoe.	['The towel.', 'The shoe.', 'The box.', 'The clothes.']	1313
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	16.8	6TNP4.mp4	Which object was opened by the person?	The refrigerator.	['The refrigerator.', 'The bag.', 'The door.', 'The closet/cabinet.']	1314
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.5	HNPC8.mp4	Which object was put down by the person?	The dish.	['The pillow.', 'The food.', 'The dish.', 'The picture.']	1315
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.7	FKJ9L.mp4	Which object was put down by the person?	The box.	['The blanket.', 'The towel.', 'The box.', 'The dish.']	1316
Object Interaction	video/star/Charades_v1_480/	video	True	6.6	23.0	3DO95.mp4	Which object was put down by the person?	The pillow.	['The pillow.', 'The dish.', 'The book.', 'The sandwich.']	1317
Object Interaction	video/star/Charades_v1_480/	video	True	2.9000000000000004	17.0	S3TZ1.mp4	Which object was closed by the person?	The refrigerator.	['The refrigerator.', 'The window.', 'The closet/cabinet.', 'The door.']	1318
Object Interaction	video/star/Charades_v1_480/	video	True	5.2	19.8	PV745.mp4	Which object was taken by the person?	The box.	['The sandwich.', 'The book.', 'The box.', 'The cup/glass/bottle.']	1319
Object Interaction	video/star/Charades_v1_480/	video	True	10.7	25.3	LHMMJ.mp4	Which object was tidied up by the person?	The closet/cabinet.	['The closet/cabinet.', 'The clothes.', 'The blanket.', 'The table.']	1320
Object Interaction	video/star/Charades_v1_480/	video	True	0.2	14.3	6N7G6.mp4	Which object was sat at by the person?	The table.	['The table.', 'The sofa/couch.', 'The bed.', 'The floor.']	1321
Object Interaction	video/star/Charades_v1_480/	video	True	10.0	24.6	DHFA6.mp4	Which object was put down by the person?	The box.	['The sandwich.', 'The laptop.', 'The clothes.', 'The box.']	1322
Object Interaction	video/star/Charades_v1_480/	video	True	10.399999999999999	26.2	RBC8N.mp4	Which object was taken by the person?	The pillow.	['The cup/glass/bottle.', 'The clothes.', 'The pillow.', 'The broom.']	1323
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.4	FCBEQ.mp4	Which object was put down by the person?	The food.	['The food.', 'The shoe.', 'The bag.', 'The clothes.']	1324
Object Interaction	video/star/Charades_v1_480/	video	True	5.5	20.0	5GP8M.mp4	Which object was put down by the person?	The phone/camera.	['The towel.', 'The food.', 'The book.', 'The phone/camera.']	1325
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.6	OY3LS.mp4	Which object was opened by the person?	The laptop.	['The laptop.', 'The refrigerator.', 'The door.', 'The bag.']	1326
Object Interaction	video/star/Charades_v1_480/	video	True	5.1	20.8	R971Z.mp4	Which object was put down by the person?	The shoe.	['The cup/glass/bottle.', 'The towel.', 'The shoe.', 'The pillow.']	1327
Object Interaction	video/star/Charades_v1_480/	video	True	9.0	24.0	S572F.mp4	Which object was taken by the person?	The blanket.	['The phone/camera.', 'The food.', 'The blanket.', 'The towel.']	1328
Object Interaction	video/star/Charades_v1_480/	video	True	5.9	22.3	B8PQL.mp4	Which object was washed by the person?	The window.	['The mirror.', 'The dish.', 'The window.', 'The clothes.']	1329
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.3	J7BOV.mp4	Which object was put down by the person?	The phone/camera.	['The laptop.', 'The food.', 'The clothes.', 'The phone/camera.']	1330
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.9	I329H.mp4	Which object was opened by the person?	The bag.	['The bag.', 'The closet/cabinet.', 'The door.', 'The window.']	1331
Object Interaction	video/star/Charades_v1_480/	video	True	4.869300000000003	30.7307	81YUE.mp4	Which object was put down by the person?	The clothes.	['The blanket.', 'The cup/glass/bottle.', 'The towel.', 'The clothes.']	1332
Object Interaction	video/star/Charades_v1_480/	video	True	2.7059666666666686	27.394033333333333	WPPAT.mp4	Which object was opened by the person?	The closet/cabinet.	['The window.', 'The book.', 'The door.', 'The closet/cabinet.']	1333
Object Interaction	video/star/Charades_v1_480/	video	True	7.6	22.6	1L5D3.mp4	Which object was put down by the person?	The pillow.	['The broom.', 'The cup/glass/bottle.', 'The clothes.', 'The pillow.']	1334
Object Interaction	video/star/Charades_v1_480/	video	True	14.0	29.0	FZJTT.mp4	Which object was taken by the person?	The phone/camera.	['The bag.', 'The food.', 'The cup/glass/bottle.', 'The phone/camera.']	1335
Object Interaction	video/star/Charades_v1_480/	video	True	15.399999999999999	29.6	NUKJ0.mp4	Which object was closed by the person?	The book.	['The book.', 'The laptop.', 'The box.', 'The closet/cabinet.']	1336
Object Interaction	video/star/Charades_v1_480/	video	True	5.166666666666664	33.13333333333333	0CG15.mp4	Which object was closed by the person?	The closet/cabinet.	['The door.', 'The closet/cabinet.', 'The laptop.', 'The box.']	1337
Object Interaction	video/star/Charades_v1_480/	video	True	15.399999999999999	29.5	H0L5S.mp4	Which object was taken by the person?	The towel.	['The towel.', 'The pillow.', 'The picture.', 'The phone/camera.']	1338
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	16.4	R1DCJ.mp4	Which object was taken by the person?	The cup/glass/bottle.	['The book.', 'The cup/glass/bottle.', 'The phone/camera.', 'The pillow.']	1339
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	16.9	1HZGH.mp4	Which object was lied on by the person?	The sofa/couch.	['The bed.', 'The shoe.', 'The sofa/couch.', 'The floor.']	1340
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.7	STAFD.mp4	Which object was eaten by the person?	The sandwich.	['The picture.', 'The sandwich.', 'The bag.', 'The medicine.']	1341
Object Interaction	video/star/Charades_v1_480/	video	True	8.166666666666668	30.833333333333332	0CESB.mp4	Which object was tidied up by the person?	The blanket.	['The table.', 'The clothes.', 'The blanket.', 'The closet/cabinet.']	1342
Object Interaction	video/star/Charades_v1_480/	video	True	6.539999999999999	30.36	XLR4B.mp4	Which object was sat at by the person?	The table.	['The bed.', 'The sofa/couch.', 'The table.', 'The floor.']	1343
Object Interaction	video/star/Charades_v1_480/	video	True	5.5	19.6	7ZCXJ.mp4	Which object was sat on by the person?	The floor.	['The table.', 'The sofa/couch.', 'The floor.', 'The bed.']	1344
Object Interaction	video/star/Charades_v1_480/	video	True	11.600000000000001	26.3	BJXRT.mp4	Which object was taken by the person?	The dish.	['The food.', 'The dish.', 'The cup/glass/bottle.', 'The blanket.']	1345
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.600000000000001	RXLKF.mp4	Which object was sat on by the person?	The sofa/couch.	['The bed.', 'The table.', 'The floor.', 'The sofa/couch.']	1346
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.4	FTG07.mp4	Which object was tidied up by the person?	The table.	['The closet/cabinet.', 'The towel.', 'The table.', 'The clothes.']	1347
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.4	MD6P2.mp4	Which object was opened by the person?	The box.	['The door.', 'The book.', 'The laptop.', 'The box.']	1348
Object Interaction	video/star/Charades_v1_480/	video	True	5.7	20.7	JJON5.mp4	Which object was opened by the person?	The refrigerator.	['The closet/cabinet.', 'The bag.', 'The book.', 'The refrigerator.']	1349
Object Interaction	video/star/Charades_v1_480/	video	True	4.7	20.7	7UV4O.mp4	Which object was thrown by the person?	The pillow.	['The shoe.', 'The clothes.', 'The pillow.', 'The food.']	1350
Object Interaction	video/star/Charades_v1_480/	video	True	1.7000000000000002	16.0	5V5EL.mp4	Which object was put down by the person?	The phone/camera.	['The clothes.', 'The phone/camera.', 'The food.', 'The cup/glass/bottle.']	1351
Object Interaction	video/star/Charades_v1_480/	video	True	0.7676000000000016	32.4324	P4DL9.mp4	Which object was taken by the person?	The phone/camera.	['The dish.', 'The cup/glass/bottle.', 'The blanket.', 'The phone/camera.']	1352
Object Interaction	video/star/Charades_v1_480/	video	True	15.399999999999999	30.9	T1CQE.mp4	Which object was taken by the person?	The laptop.	['The cup/glass/bottle.', 'The clothes.', 'The paper/notebook.', 'The laptop.']	1353
Object Interaction	video/star/Charades_v1_480/	video	True	13.9	28.4	52MV9.mp4	Which object was put down by the person?	The dish.	['The dish.', 'The picture.', 'The cup/glass/bottle.', 'The food.']	1354
Object Interaction	video/star/Charades_v1_480/	video	True	8.5	25.5	J6TVB.mp4	Which object was put down by the person?	The dish.	['The dish.', 'The bag.', 'The cup/glass/bottle.', 'The laptop.']	1355
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.799999999999999	V3SOF.mp4	Which object was put down by the person?	The dish.	['The food.', 'The picture.', 'The blanket.', 'The dish.']	1356
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.600000000000001	0F453.mp4	Which object was opened by the person?	The refrigerator.	['The bag.', 'The refrigerator.', 'The book.', 'The door.']	1357
Object Interaction	video/star/Charades_v1_480/	video	True	14.1	29.1	H8UJ3.mp4	Which object was opened by the person?	The book.	['The book.', 'The window.', 'The closet/cabinet.', 'The box.']	1358
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.4	JBZF5.mp4	Which object was tidied up by the person?	The table.	['The towel.', 'The blanket.', 'The clothes.', 'The table.']	1359
Object Interaction	video/star/Charades_v1_480/	video	True	14.0	28.3	5K0KJ.mp4	Which object was taken by the person?	The phone/camera.	['The phone/camera.', 'The cup/glass/bottle.', 'The towel.', 'The sandwich.']	1360
Object Interaction	video/star/Charades_v1_480/	video	True	20.6	35.2	CCCUJ.mp4	Which object was put down by the person?	The laptop.	['The dish.', 'The towel.', 'The laptop.', 'The cup/glass/bottle.']	1361
Object Interaction	video/star/Charades_v1_480/	video	True	20.1	35.3	GLGQJ.mp4	Which object was closed by the person?	The window.	['The window.', 'The box.', 'The book.', 'The closet/cabinet.']	1362
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	16.0	MVPQF.mp4	Which object was put down by the person?	The bag.	['The bag.', 'The food.', 'The laptop.', 'The cup/glass/bottle.']	1363
Object Interaction	video/star/Charades_v1_480/	video	True	1.8592999999999975	40.740700000000004	U3ANG.mp4	Which object was put down by the person?	The book.	['The phone/camera.', 'The sandwich.', 'The book.', 'The food.']	1364
Object Interaction	video/star/Charades_v1_480/	video	True	8.1	23.2	RAQNI.mp4	Which object was tidied up by the person?	The blanket.	['The table.', 'The clothes.', 'The towel.', 'The blanket.']	1365
Object Interaction	video/star/Charades_v1_480/	video	True	5.227272727272727	34.77272727272727	BVN7J.mp4	Which object was put down by the person?	The dish.	['The dish.', 'The pillow.', 'The shoe.', 'The food.']	1366
Object Interaction	video/star/Charades_v1_480/	video	True	6.5	21.6	PZD7Z.mp4	Which object was put down by the person?	The broom.	['The broom.', 'The phone/camera.', 'The laptop.', 'The box.']	1367
Object Interaction	video/star/Charades_v1_480/	video	True	8.266666666666666	23.733333333333334	V115C.mp4	Which object was put down by the person?	The clothes.	['The laptop.', 'The cup/glass/bottle.', 'The pillow.', 'The clothes.']	1368
Object Interaction	video/star/Charades_v1_480/	video	True	0.20000000000000018	15.6	2RRSO.mp4	Which object was washed by the person?	The clothes.	['The window.', 'The clothes.', 'The table.', 'The dish.']	1369
Object Interaction	video/star/Charades_v1_480/	video	True	3.320250000000005	29.779749999999996	3XKBC.mp4	Which object was opened by the person?	The laptop.	['The window.', 'The closet/cabinet.', 'The laptop.', 'The door.']	1370
Object Interaction	video/star/Charades_v1_480/	video	True	5.8	22.1	WP5RH.mp4	Which object was taken by the person?	The bag.	['The laptop.', 'The towel.', 'The book.', 'The bag.']	1371
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.2	O8PO3.mp4	Which object was taken by the person?	The dish.	['The paper/notebook.', 'The clothes.', 'The picture.', 'The dish.']	1372
Object Interaction	video/star/Charades_v1_480/	video	True	4.6	19.8	6ZWSU.mp4	Which object was put down by the person?	The shoe.	['The pillow.', 'The food.', 'The cup/glass/bottle.', 'The shoe.']	1373
Object Interaction	video/star/Charades_v1_480/	video	True	18.1	32.9	6VF2L.mp4	Which object was taken by the person?	The blanket.	['The pillow.', 'The broom.', 'The bag.', 'The blanket.']	1374
Object Interaction	video/star/Charades_v1_480/	video	True	10.2	26.5	ZZ2SF.mp4	Which object was eaten by the person?	The medicine.	['The pillow.', 'The sandwich.', 'The picture.', 'The medicine.']	1375
Object Interaction	video/star/Charades_v1_480/	video	True	2.7	17.3	59KH0.mp4	Which object was taken by the person?	The clothes.	['The towel.', 'The clothes.', 'The cup/glass/bottle.', 'The paper/notebook.']	1376
Object Interaction	video/star/Charades_v1_480/	video	True	0.6289494269292248	30.371050573070775	AS7SG.mp4	Which object was opened by the person?	The laptop.	['The box.', 'The window.', 'The door.', 'The laptop.']	1377
Object Interaction	video/star/Charades_v1_480/	video	True	2.6483140077302423	37.45168599226976	34OT4.mp4	Which object was put down by the person?	The pillow.	['The paper/notebook.', 'The clothes.', 'The food.', 'The pillow.']	1378
Object Interaction	video/star/Charades_v1_480/	video	True	11.4	26.1	6RQHP.mp4	Which object was washed by the person?	The dish.	['The dish.', 'The cup/glass/bottle.', 'The clothes.', 'The table.']	1379
Object Interaction	video/star/Charades_v1_480/	video	True	1.4901960784313744	49.509803921568626	NW0KT.mp4	Which object was washed by the person?	The mirror.	['The mirror.', 'The clothes.', 'The window.', 'The table.']	1380
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.0	H2B7U.mp4	Which object was washed by the person?	The clothes.	['The table.', 'The clothes.', 'The window.', 'The dish.']	1381
Object Interaction	video/star/Charades_v1_480/	video	True	7.033333333333335	30.966666666666665	92UB5.mp4	Which object was put down by the person?	The pillow.	['The sandwich.', 'The food.', 'The pillow.', 'The box.']	1382
Object Interaction	video/star/Charades_v1_480/	video	True	8.0	22.9	6JGXL.mp4	Which object was eaten by the person?	The medicine.	['The refrigerator.', 'The medicine.', 'The picture.', 'The sandwich.']	1383
Object Interaction	video/star/Charades_v1_480/	video	True	31.9	48.3	23YS1.mp4	Which object was tidied up by the person?	The closet/cabinet.	['The table.', 'The clothes.', 'The closet/cabinet.', 'The blanket.']	1384
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	8.0	5W1Z7.mp4	Which object was lied on by the person?	The bed.	['The bed.', 'The bag.', 'The sofa/couch.', 'The floor.']	1385
Object Interaction	video/star/Charades_v1_480/	video	True	7.800000000000001	22.6	D1NT7.mp4	Which object was put down by the person?	The box.	['The food.', 'The clothes.', 'The box.', 'The shoe.']	1386
Object Interaction	video/star/Charades_v1_480/	video	True	7.907595549104986	27.092404450895014	JCNHL.mp4	Which object was tidied up by the person?	The clothes.	['The clothes.', 'The closet/cabinet.', 'The table.', 'The towel.']	1387
Object Interaction	video/star/Charades_v1_480/	video	True	14.4	28.9	JLGLU.mp4	Which object was taken by the person?	The towel.	['The phone/camera.', 'The clothes.', 'The towel.', 'The cup/glass/bottle.']	1388
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	15.2	AMT7R.mp4	Which object was put down by the person?	The picture.	['The book.', 'The broom.', 'The bag.', 'The picture.']	1389
Object Interaction	video/star/Charades_v1_480/	video	True	7.333333333333336	32.666666666666664	JL8XT.mp4	Which object was tidied up by the person?	The closet/cabinet.	['The table.', 'The towel.', 'The broom.', 'The closet/cabinet.']	1390
Object Interaction	video/star/Charades_v1_480/	video	True	6.6	21.0	CSYES.mp4	Which object was put down by the person?	The towel.	['The towel.', 'The bag.', 'The cup/glass/bottle.', 'The clothes.']	1391
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.9	3B81O.mp4	Which object was opened by the person?	The window.	['The window.', 'The book.', 'The closet/cabinet.', 'The laptop.']	1392
Object Interaction	video/star/Charades_v1_480/	video	True	3.8910416666666663	17.308958333333333	XOOPP.mp4	Which object was put down by the person?	The picture.	['The picture.', 'The phone/camera.', 'The box.', 'The blanket.']	1393
Object Interaction	video/star/Charades_v1_480/	video	True	8.0	22.1	FM5D5.mp4	Which object was tidied up by the person?	The clothes.	['The table.', 'The blanket.', 'The closet/cabinet.', 'The clothes.']	1394
Object Interaction	video/star/Charades_v1_480/	video	True	3.9000000000000004	19.3	KLP7V.mp4	Which object was put down by the person?	The box.	['The food.', 'The pillow.', 'The box.', 'The clothes.']	1395
Object Interaction	video/star/Charades_v1_480/	video	True	5.208333333333336	33.791666666666664	JJLTF.mp4	Which object was put down by the person?	The cup/glass/bottle.	['The cup/glass/bottle.', 'The laptop.', 'The phone/camera.', 'The box.']	1396
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	16.8	M3S4D.mp4	Which object was put down by the person?	The box.	['The sandwich.', 'The box.', 'The clothes.', 'The book.']	1397
Object Interaction	video/star/Charades_v1_480/	video	True	0.7999999999999998	17.8	3V2HJ.mp4	Which object was put down by the person?	The bag.	['The book.', 'The bag.', 'The shoe.', 'The food.']	1398
Object Interaction	video/star/Charades_v1_480/	video	True	0.0	14.4	5657O.mp4	Which object was put down by the person?	The clothes.	['The cup/glass/bottle.', 'The laptop.', 'The clothes.', 'The bag.']	1399
Object Shuffle	video/perception/videos/	video	False			video_10336.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the third object from the left.	['Under the first object from the left.', 'Under the third object from the left.', 'Under the second object from the left.']	1400
Object Shuffle	video/perception/videos/	video	False			video_8176.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the first object from the left.', 'Under the third object from the left.', 'Under the second object from the left.']	1401
Object Shuffle	video/perception/videos/	video	False			video_10803.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the first object from the left.	['Under the first object from the left.', 'Under the second object from the left.', 'Under the third object from the left.']	1402
Object Shuffle	video/perception/videos/	video	False			video_3889.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the second object from the left.', 'Under the third object from the left.', 'Under the fourth object from the left.']	1403
Object Shuffle	video/perception/videos/	video	False			video_7110.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the first object from the left.	['Under the first object from the left.', 'Under the second object from the left.', 'Under the third object from the left.']	1404
Object Shuffle	video/perception/videos/	video	False			video_4484.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the third object from the left.	['Under the third object from the left.', 'Under the second object from the left.', 'Under the first object from the left.']	1405
Object Shuffle	video/perception/videos/	video	False			video_4244.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the first object from the left.	['Under the third object from the left.', 'Under the second object from the left.', 'Under the first object from the left.']	1406
Object Shuffle	video/perception/videos/	video	False			video_6417.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the first object from the left.', 'Under the second object from the left.', 'Under the third object from the left.']	1407
Object Shuffle	video/perception/videos/	video	False			video_7576.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the fourth object from the left.	['Under the second object from the left.', 'Under the third object from the left.', 'Under the fourth object from the left.']	1408
Object Shuffle	video/perception/videos/	video	False			video_11279.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the first object from the left.	['Under the third object from the left.', 'Under the first object from the left.', 'Under the second object from the left.']	1409
Object Shuffle	video/perception/videos/	video	False			video_7998.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the first object from the left.	['Under the third object from the left.', 'Under the first object from the left.', 'Under the second object from the left.']	1410
Object Shuffle	video/perception/videos/	video	False			video_7872.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the first object from the left.	['Under the second object from the left.', 'Under the first object from the left.', 'Under the third object from the left.']	1411
Object Shuffle	video/perception/videos/	video	False			video_11272.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the first object from the left.', 'Under the third object from the left.', 'Under the second object from the left.']	1412
Object Shuffle	video/perception/videos/	video	False			video_8289.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the third object from the left.', 'Under the second object from the left.', 'Under the first object from the left.']	1413
Object Shuffle	video/perception/videos/	video	False			video_2027.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the first object from the left.	['Under the third object from the left.', 'Under the second object from the left.', 'Under the first object from the left.']	1414
Object Shuffle	video/perception/videos/	video	False			video_1325.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the second object from the left.', 'Under the first object from the left.', 'Under the third object from the left.']	1415
Object Shuffle	video/perception/videos/	video	False			video_803.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the second object from the left.', 'Under the third object from the left.', 'Under the first object from the left.']	1416
Object Shuffle	video/perception/videos/	video	False			video_4204.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the first object from the left.', 'Under the second object from the left.', 'Under the third object from the left.']	1417
Object Shuffle	video/perception/videos/	video	False			video_6952.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the third object from the left.', 'Under the first object from the left.', 'Under the second object from the left.']	1418
Object Shuffle	video/perception/videos/	video	False			video_7880.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the first object from the left.	['Under the first object from the left.', 'Under the second object from the left.', 'Under the third object from the left.']	1419
Object Shuffle	video/perception/videos/	video	False			video_1003.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the first object from the left.', 'Under the second object from the left.', 'Under the third object from the left.']	1420
Object Shuffle	video/perception/videos/	video	False			video_2431.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the first object from the left.	['Under the second object from the left.', 'Under the third object from the left.', 'Under the first object from the left.']	1421
Object Shuffle	video/perception/videos/	video	False			video_3824.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the second object from the left.', 'Under the first object from the left.', 'Under the third object from the left.']	1422
Object Shuffle	video/perception/videos/	video	False			video_10590.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the first object from the left.', 'Under the third object from the left.', 'Under the second object from the left.']	1423
Object Shuffle	video/perception/videos/	video	False			video_1095.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the second object from the left.	['Under the second object from the left.', 'Under the third object from the left.', 'Under the first object from the left.']	1424
Object Shuffle	video/perception/videos/	video	False			video_2053.mp4	The person uses multiple similar objects to play an occlusion game. Where is the hidden object at the end of the game from the person's point of view?	Under the third object from the left.	['Under the second object from the left.', 'Under the third object from the left.', 'Under the first object from the left.']	1425
